sales_detail_id,sales_id,product_id,quantity,unit_price,amount,created_at,updated_at
16,9,9,1,5000,5000,2026-07-02 03:37:12,2026-07-02 03:38:12
17,9,5,1,190000,190000,2026-07-02 03:37:12,2026-07-02 04:21:12
18,10,4,1,200000,200000,2026-07-02 01:47:33,2026-07-02 02:16:33
19,10,3,1,180000,180000,2026-07-02 01:47:33,2026-07-02 01:57:33
20,11,12,1,300,300,2026-07-02 19:09:37,2026-07-02 20:06:37
21,12,20,1,15000,15000,2026-07-02 01:32:41,2026-07-02 01:34:41
22,12,9,1,5000,5000,2026-07-02 01:32:41,2026-07-02 01:55:41
23,13,18,2,800,1600,2026-07-02 15:44:29,2026-07-02 16:28:29
24,13,4,1,200000,200000,2026-07-02 15:44:29,2026-07-02 16:05:29
25,14,10,1,200,200,2026-07-02 17:18:44,2026-07-02 17:52:44
26,14,27,3,1200,3600,2026-07-02 17:18:44,2026-07-02 17:21:44
27,14,21,2,600,1200,2026-07-02 17:18:44,2026-07-02 17:38:44
28,15,23,1,8000,8000,2026-07-02 23:27:51,2026-07-02 23:32:51
29,16,8,1,15000,15000,2026-07-02 23:13:55,2026-07-02 23:57:55
30,16,25,1,500,500,2026-07-02 23:13:55,2026-07-02 23:41:55
31,16,10,1,200,200,2026-07-02 23:13:55,2026-07-02 23:19:55
